year,name,date,weather,num_dnfs,circuit_type,phy_diff,safety_car
2023,São Paulo Grand Prix,2023-11-05,,,traditional,2,TRUE
2023,Las Vegas Grand Prix,2023-11-19,,,street,3,TRUE
2023,Abu Dhabi Grand Prix,2023-11-26,,,traditional,3,FALSE
2024,Bahrain Grand Prix,2024-03-02,,,traditional,3,FALSE
2024,Saudi Arabian Grand Prix,2024-03-09,,,street,3,TRUE
2024,Australian Grand Prix,2024-03-24,,,street,2,TRUE
2024,Japanese Grand Prix,2024-04-07,,,traditional,2,TRUE
2024,Chinese Grand Prix,2024-04-21,,,traditional,2,TRUE
2024,Miami Grand Prix,2024-05-05,,,street,3,TRUE
2024,Emilia Romagna Grand Prix,2024-05-19,,,traditional,2,FALSE
2024,Monaco Grand Prix,2024-05-26,,,street,3,TRUE
2024,Canadian Grand Prix,2024-06-09,,,traditional,2,TRUE
2024,Spanish Grand Prix,2024-06-23,,,traditional,2,FALSE
2024,Austrian Grand Prix,2024-06-30,,,traditional,2,TRUE
2024,British Grand Prix,2024-07-07,,,traditional,1,FALSE
2024,Hungarian Grand Prix,2024-07-21,,,traditional,2,FALSE
2024,Belgian Grand Prix,2024-07-28,,,traditional,2,FALSE
2024,Dutch Grand Prix,2024-08-25,,,traditional,2,FALSE
2024,Italian Grand Prix,2024-09-01,,,traditional,2,FALSE
2024,Azerbaijan Grand Prix,2024-09-15,,,street,3,TRUE
2024,Singapore Grand Prix,2024-09-22,,,street,4,FALSE
2024,United States Grand Prix,2024-10-20,,,traditional,2,TRUE
2024,Mexico City Grand Prix,2024-10-27,,,traditional,3,TRUE
2024,São Paulo Grand Prix,2024-11-03,,,traditional,2,TRUE
2024,Las Vegas Grand Prix,2024-11-23,,,street,3,FALSE
2024,Qatar Grand Prix,2024-12-01,,,street,4,TRUE
2024,Abu Dhabi Grand Prix,2024-12-08,,,traditional,3,TRUE
